"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jun 19 09:52:01 GMT 2023","Mon Jun 19 09:52:31 GMT 2023","30206","chromium","","Factorial calculator","","","Api response is correct",""
"passed","Mon Jun 19 09:52:32 GMT 2023","Mon Jun 19 09:52:52 GMT 2023","20237","chromium","","Factorial calculator","","","UI response is correct",""
"passed","Mon Jun 19 09:50:36 GMT 2023","Mon Jun 19 09:50:58 GMT 2023","21736","chromium","","Factorial calculator","","","Should calculate correctly from 10 to 100",""
